"sample","speciator"
"SB2713433814","Escherichia coli"
"SB2713434477","Escherichia coli"
"SB2713434453","Escherichia coli"
"SB2713434195","Escherichia coli"
"SB2713434271","Escherichia coli"
"SB2713434103","Escherichia coli"
"SB2713434276","Escherichia coli"
"SB2713433822","Escherichia coli"
"SB2713433836","Escherichia coli"
"SB2713434140","Escherichia coli"
"SB2713434281","Escherichia coli"
"SB2713434479","Escherichia coli"
"SB2713433914","Escherichia coli"
"SB2713434096","Escherichia coli"
"SB2713434282","Escherichia coli"
"SB2713434383","Escherichia coli"
"SB2713433890","Escherichia coli"
"SB2713434074","Escherichia coli"
"SB2713433915","Escherichia coli"
"SB2713434108","Escherichia coli"
"SB2713434447","Escherichia coli"
"SB2713433941","Escherichia coli"
"SB2713434259","Escherichia coli"
"SB2713434052","Escherichia coli"
"SB2713434130","Escherichia coli"
"SB2713434196","Escherichia coli"
"SB2713434287","Escherichia coli"
"SB2713434105","Escherichia coli"
"SB2713433926","Escherichia coli"
"SB2713433938","Escherichia coli"
"SB2713434059","Escherichia coli"
"SB2713434295","Escherichia coli"
"SB2713434402","Escherichia coli"
"SB2713433904","Escherichia coli"
"SB2713434413","Escherichia coli"
"SB2713434066","Escherichia coli"
"SB2713434219","Escherichia coli"
"SB2713434188","Escherichia coli"
"SB2713434361","Escherichia coli"
"SB2713433988","Escherichia coli"
"SB2713433807","Escherichia coli"
"SB2713434133","Escherichia coli"
"SB2713434211","Escherichia coli"
"SB2713434297","Escherichia coli"
"SB2713433879","Escherichia coli"
"SB2713433819","Escherichia coli"
"SB2713433932","Escherichia coli"
"SB2713434078","Escherichia coli"
"SB2713434230","Escherichia coli"
"SB2713433978","Escherichia coli"
"SB2713434414","Escherichia coli"
"SB2713433996","Escherichia coli"
"SB2713433862","Escherichia coli"
"SB2713433886","Escherichia coli"
"SB2713434010","Escherichia coli"
"SB2713434186","Escherichia coli"
"SB2713434406","Escherichia coli"
"SB2713434525","Escherichia coli"
"SB2713433959","Escherichia coli"
"SB2713434441","Escherichia coli"
"SB2713433911","Escherichia coli"
"SB2713434047","Escherichia coli"
"SB2713434289","Escherichia coli"
"SB2713434092","Escherichia coli"
"SB2713434072","Escherichia coli"
"SB2713434364","Escherichia coli"
"SB2713434350","Escherichia coli"
"SB2713434190","Escherichia coli"
"SB2713434035","Escherichia coli"
"SB2713434024","Escherichia coli"
"SB2713434246","Escherichia coli"
"SB2713434258","Escherichia coli"
"SB2713434425","Escherichia coli"
"SB2713433825","Escherichia coli"
"SB2713434464","Escherichia coli"
"SB2713433933","Escherichia coli"
"SB2713434469","Escherichia coli"
"SB2713434020","Escherichia coli"
"SB2713434313","Escherichia coli"
"SB2713433925","Escherichia coli"
"SB2713434433","Escherichia coli"
"SB2713434001","Escherichia coli"
"SB2713434393","Escherichia coli"
"SB2713434016","Escherichia coli"
"SB2713433855","Escherichia coli"
"SB2713434294","Escherichia coli"
"SB2713433936","Escherichia coli"
"SB2713433953","Escherichia coli"
"SB2713433993","Escherichia coli"
"SB2713434388","Escherichia coli"
"SB2713434023","Escherichia coli"
"SB2713433924","Escherichia coli"
"SB2713434040","Escherichia coli"
"SB2713434154","Escherichia coli"
"SB2713434255","Escherichia coli"
"SB2713434378","Escherichia coli"
"SB2713434201","Escherichia coli"
"SB2713434076","Escherichia coli"
"SB2713434385","Escherichia coli"
"SB2713434167","Escherichia coli"
"SB2713433854","Escherichia coli"
"SB2713433853","Escherichia coli"
"SB2713434386","Escherichia coli"
"SB2713434152","Escherichia coli"
"SB2713433981","Escherichia coli"
"SB2713434123","Escherichia coli"
"SB2713434086","Escherichia coli"
"SB2713434006","Escherichia coli"
"SB2713434454","Escherichia coli"
"SB2713434437","Escherichia coli"
"SB2713434075","Escherichia coli"
"SB2713433823","Escherichia coli"
"SB2713434443","Escherichia coli"
"SB2713434400","Escherichia coli"
"SB2713434165","Escherichia coli"
"SB2713434178","Escherichia coli"
"SB2713434362","Escherichia coli"
"SB2713434197","Escherichia coli"
"SB2713433984","Escherichia coli"
"SB2713434213","Escherichia coli"
"SB2713433835","Escherichia coli"
"SB2713433918","Escherichia coli"
"SB2713433891","Escherichia coli"
"SB2713434182","Escherichia coli"
"SB2713434273","Escherichia coli"
"SB2713434217","Escherichia coli"
"SB2713434428","Escherichia coli"
"SB2713434048","Escherichia coli"
"SB2713433927","Escherichia coli"
"SB2713434033","Escherichia coli"
"SB2713433913","Escherichia coli"
"SB2713434251","Escherichia coli"
"SB2713434408","Escherichia coli"
"SB2713434192","Escherichia coli"
"SB2713434475","Escherichia coli"
"SB2713434429","Escherichia coli"
"SB2713434262","Escherichia coli"
"SB2713434460","Escherichia coli"
"SB2713434306","Escherichia coli"
"SB2713434284","Escherichia coli"
"SB2713434115","Escherichia coli"
"SB2713434494","Escherichia coli"
"SB2713434278","Escherichia coli"
"SB2713434439","Escherichia coli"
"SB2713434470","Escherichia coli"
"SB2713434498","Escherichia coli"
"SB2713434055","Escherichia coli"
"SB2713433898","Escherichia coli"
"SB2713434121","Escherichia coli"
"SB2713434009","Escherichia coli"
"SB2713433999","Escherichia coli"
"SB2713434398","Escherichia coli"
"SB2713433929","Escherichia coli"
"SB2713434373","Escherichia coli"
"SB2713434267","Escherichia coli"
"SB2713434392","Escherichia coli"
"SB2713434171","Escherichia coli"
"SB2713434472","Escherichia coli"
"SB2713433866","Escherichia coli"
"SB2713434423","Escherichia coli"
"SB2713434272","Escherichia coli"
"SB2713434461","Escherichia coli"
"SB2713434279","Escherichia coli"
"SB2713434236","Escherichia coli"
"SB2713434169","Escherichia coli"
"SB2713433955","Escherichia coli"
"SB2713434417","Escherichia coli"
"SB2713433994","Escherichia coli"
"SB2713433818","Escherichia coli"
"SB2713434310","Escherichia coli"
"SB2713434444","Escherichia coli"
"SB2713434466","Escherichia coli"
"SB2713433930","Escherichia coli"
"SB2713434028","Escherichia coli"
"SB2713434101","Escherichia coli"
"SB2713434214","Escherichia coli"
"SB2713434005","Escherichia coli"
"SB2713433815","Escherichia coli"
"SB2713434524","Escherichia coli"
"SB2713433908","Escherichia coli"
"SB2713433997","Escherichia coli"
"SB2713434401","Escherichia coli"
"SB2713433833","Escherichia coli"
"SB2713434438","Escherichia coli"
"SB2713434303","Escherichia coli"
"SB2713433875","Escherichia coli"
"SB2713433954","Escherichia coli"
"SB2713434021","Escherichia coli"
"SB2713434109","Escherichia coli"
"SB2713434106","Escherichia coli"
"SB2713434180","Escherichia coli"
"SB2713434007","Escherichia coli"
"SB2713433883","Escherichia coli"
"SB2713434229","Escherichia coli"
"SB2713434114","Escherichia coli"
"SB2713434204","Escherichia coli"
"SB2713434139","Escherichia coli"
"SB2713433974","Escherichia coli"
"SB2713434148","Escherichia coli"
"SB2713433857","Escherichia coli"
"SB2713433899","Escherichia coli"
"SB2713434155","Escherichia coli"
"SB2713434266","Escherichia coli"
"SB2713434449","Escherichia coli"
"SB2713434099","Escherichia coli"
"SB2713433834","Escherichia coli"
"SB2713433992","Escherichia coli"
"SB2713433871","Escherichia coli"
"SB2713433998","Escherichia coli"
"SB2713434496","Escherichia coli"
"SB2713433942","Escherichia coli"
"SB2713434220","Escherichia coli"
"SB2713433921","Escherichia coli"
"SB2713434397","Escherichia coli"
"SB2713434058","Escherichia coli"
"SB2713434410","Escherichia coli"
"SB2713434170","Escherichia coli"
"SB2713434142","Escherichia coli"
"SB2713434239","Escherichia coli"
"SB2713433885","Escherichia coli"
"SB2713434174","Escherichia coli"
"SB2713434253","Escherichia coli"
"SB2713433887","Escherichia coli"
"SB2713434110","Escherichia coli"
"SB2713434200","Escherichia coli"
"SB2713434352","Escherichia coli"
"SB2713434442","Escherichia coli"
"SB2713433872","Escherichia coli"
"SB2713433989","Escherichia coli"
"SB2713434199","Escherichia coli"
"SB2713434000","Escherichia coli"
"SB2713433923","Escherichia coli"
"SB2713434210","Escherichia coli"
"SB2713434089","Escherichia coli"
"SB2713434440","Escherichia coli"
"SB2713433919","Escherichia coli"
"SB2713434528","Escherichia coli"
"SB2713434301","Escherichia coli"
"SB2713434250","Escherichia coli"
"SB2713433856","Escherichia coli"
"SB2713434384","Escherichia coli"
"SB2713434473","Escherichia coli"
"SB2713434145","Escherichia coli"
"SB2713433934","Escherichia coli"
"SB2713433966","Escherichia coli"
"SB2713433876","Escherichia coli"
"SB2713434407","Escherichia coli"
"SB2713434137","Escherichia coli"
"SB2713433902","Escherichia coli"
"SB2713433956","Escherichia coli"
"SB2713434194","Escherichia coli"
"SB2713434094","Escherichia coli"
"SB2713434244","Escherichia coli"
"SB2713433840","Escherichia coli"
"SB2713434471","Escherichia coli"
"SB2713434207","Escherichia coli"
"SB2713434249","Escherichia coli"
"SB2713434467","Escherichia coli"
"SB2713434136","Escherichia coli"
"SB2713434296","Escherichia coli"
"SB2713434495","Escherichia coli"
"SB2713434257","Escherichia coli"
"SB2713434081","Escherichia coli"
"SB2713434299","Escherichia coli"
"SB2713434380","Escherichia coli"
"SB2713434304","Escherichia coli"
"SB2713434354","Escherichia coli"
"SB2713434234","Escherichia coli"
"SB2713433882","Escherichia coli"
"SB2713434183","Escherichia coli"
"SB2713434132","Escherichia coli"
"SB2713433962","Escherichia coli"
"SB2713434277","Escherichia coli"
"SB2713433808","Escherichia coli"
"SB2713434446","Escherichia coli"
"SB2713434125","Escherichia coli"
"SB2713433916","Escherichia coli"
"SB2713434455","Escherichia coli"
"SB2713434184","Escherichia coli"
"SB2713433896","Escherichia coli"
"SB2713433837","Escherichia coli"
"SB2713433884","Escherichia coli"
"SB2713433878","Escherichia coli"
"SB2713434100","Escherichia coli"
"SB2713434481","Escherichia coli"
"SB2713434193","Escherichia coli"
"SB2713434051","Escherichia coli"
"SB2713434135","Escherichia coli"
"SB2713433900","Escherichia coli"
"SB2713434067","Escherichia coli"
"SB2713434254","Escherichia coli"
"SB2713434409","Escherichia coli"
"SB2713434004","Escherichia coli"
"SB2713434238","Escherichia coli"
"SB2713434159","Escherichia coli"
"SB2713434314","Escherichia coli"
"SB2713433977","Escherichia coli"
"SB2713434187","Escherichia coli"
"SB2713433895","Escherichia coli"
"SB2713433957","Escherichia coli"
"SB2713434039","Escherichia coli"
"SB2713434098","Escherichia coli"
"SB2713434381","Escherichia coli"
"SB2713434056","Escherichia coli"
"SB2713434462","Escherichia coli"
"SB2713434113","Escherichia coli"
"SB2713434365","Escherichia coli"
"SB2713434002","Escherichia coli"
"SB2713434181","Escherichia coli"
"SB2713433958","Escherichia coli"
"SB2713433972","Escherichia coli"
"SB2713434448","Escherichia coli"
"SB2713433979","Escherichia coli"
"SB2713433831","Escherichia coli"
"SB2713434430","Escherichia coli"
"SB2713434394","Escherichia coli"
"SB2713434209","Escherichia coli"
"SB2713434146","Escherichia coli"
"SB2713433859","Escherichia coli"
"SB2713434014","Escherichia coli"
"SB2713433830","Escherichia coli"
"SB2713433824","Escherichia coli"
"SB2713433806","Escherichia coli"
"SB2713433965","Escherichia coli"
"SB2713434080","Escherichia coli"
"SB2713434434","Escherichia coli"
"SB2713434025","Escherichia coli"
"SB2713434363","Escherichia coli"
"SB2713433922","Escherichia coli"
"SB2713433975","Escherichia coli"
"SB2713434418","Escherichia coli"
"SB2713434309","Escherichia coli"
"SB2713433968","Escherichia coli"
"SB2713434022","Escherichia coli"
"SB2713434097","Escherichia coli"
"SB2713434017","Escherichia coli"
"SB2713434117","Escherichia coli"
"SB2713434008","Escherichia coli"
"SB2713434280","Escherichia coli"
"SB2713434403","Escherichia coli"
"SB2713434482","Escherichia coli"
"SB2713434305","Escherichia coli"
"SB2713434493","Escherichia coli"
"SB2713434265","Escherichia coli"
"SB2713434285","Escherichia coli"
"SB2713434463","Escherichia coli"
"SB2713434432","Escherichia coli"
"SB2713434231","Escherichia coli"
"SB2713433976","Escherichia coli"
"SB2713434474","Escherichia coli"
"SB2713434116","Escherichia coli"
"SB2713434457","Escherichia coli"
"SB2713433821","Escherichia coli"
"SB2713433889","Escherichia coli"
"SB2713434044","Escherichia coli"
"SB2713433812","Escherichia coli"
"SB2713434476","Escherichia coli"
"SB2713434085","Escherichia coli"
"SB2713433970","Escherichia coli"
"SB2713433991","Escherichia coli"
"SB2713433987","Escherichia coli"
"SB2713434065","Escherichia coli"
"SB2713434057","Escherichia coli"
"SB2713433861","Escherichia coli"
"SB2713433973","Escherichia coli"
"SB2713433860","Escherichia coli"
"SB2713434351","Escherichia coli"
"SB2713434019","Escherichia coli"
"SB2713433935","Escherichia coli"
"SB2713433982","Escherichia coli"
"SB2713434527","Escherichia coli"
"SB2713434523","Escherichia coli"
"SB2713434416","Escherichia coli"
"SB2713433888","Escherichia coli"
"SB2713434031","Escherichia coli"
"SB2713434176","Escherichia coli"
"SB2713434189","Escherichia coli"
"SB2713434185","Escherichia coli"
"SB2713434359","Escherichia coli"
"SB2713433903","Escherichia coli"
"SB2713434218","Escherichia coli"
"SB2713433892","Escherichia coli"
"SB2713434374","Escherichia coli"
"SB2713434198","Escherichia coli"
"SB2713433917","Escherichia coli"
"SB2713434150","Escherichia coli"
"SB2713434391","Escherichia coli"
"SB2713433827","Escherichia coli"
"SB2713434456","Escherichia coli"
"SB2713434120","Escherichia coli"
"SB2713434129","Escherichia coli"
"SB2713433961","Escherichia coli"
"SB2713434233","Escherichia coli"
"SB2713433980","Escherichia coli"
"SB2713434389","Escherichia coli"
"SB2713434030","Escherichia coli"
"SB2713434107","Escherichia coli"
"SB2713434435","Escherichia coli"
"SB2713433906","Escherichia coli"
"SB2713434375","Escherichia coli"
"SB2713433901","Escherichia coli"
"SB2713434064","Escherichia coli"
"SB2713434243","Escherichia coli"
"SB2713434128","Escherichia coli"
"SB2713434091","Escherichia coli"
"SB2713433897","Escherichia coli"
"SB2713433964","Escherichia coli"
"SB2713434162","Escherichia coli"
"SB2713433963","Escherichia coli"
"SB2713433810","Escherichia coli"
"SB2713434405","Escherichia coli"
"SB2713434450","Escherichia coli"
"SB2713433910","Escherichia coli"
"SB2713434003","Escherichia coli"
"SB2713434061","Escherichia coli"
"SB2713434499","Escherichia coli"
"SB2713434260","Escherichia coli"
"SB2713434451","Escherichia coli"
"SB2713434452","Escherichia coli"
"SB2713434421","Escherichia coli"
"SB2713433880","Escherichia coli"
"SB2713433870","Escherichia coli"
"SB2713434312","Escherichia coli"
"SB2713434237","Escherichia coli"
"SB2713434503","Escherichia coli"
"SB2713433893","Escherichia coli"
"SB2713433920","Escherichia coli"
"SB2713433865","Escherichia coli"
"SB2713434404","Escherichia coli"
"SB2713434396","Escherichia coli"
"SB2713433990","Escherichia coli"
"SB2713434459","Escherichia coli"
"SB2713433829","Escherichia coli"
"SB2713433873","Escherichia coli"
"SB2713434172","Escherichia coli"
"SB2713434157","Escherichia coli"
"SB2713434073","Escherichia coli"
"SB2713433960","Escherichia coli"
"SB2713433909","Escherichia coli"
"SB2713434379","Escherichia coli"
"SB2713434420","Escherichia coli"
"SB2713433928","Escherichia coli"
"SB2713433816","Escherichia coli"
"SB2713434292","Escherichia coli"
"SB278790378","Escherichia coli"
"SB2713433717","Escherichia coli"
"SB278791291","Escherichia coli"
"SB2710442411","Escherichia coli"
"SB278344766","Escherichia coli"
"SB277889629","Escherichia coli"
"SB2713433471","Escherichia coli"
"SB2713433760","Escherichia coli"
"SB2710445456","Escherichia coli"
"SB2713433483","Escherichia coli"
"SB2713433248","Escherichia coli"
"SB277889784","Escherichia coli"
"SB278791384","Escherichia coli"
"SB278344920","Escherichia coli"
"SB278344469","Escherichia coli"
"SB278791800","Escherichia coli"
"SB278790865","Escherichia coli"
"SB2713433792","Escherichia coli"
"SB277889687","Escherichia coli"
"SB2713433228","Escherichia coli"
"SB2713433541","Escherichia coli"
"SB278791839","Escherichia coli"
"SB2710445766","Escherichia coli"
"SB2713433437","Escherichia coli"
"SB2710441385","Escherichia coli"
"SB279408532","Escherichia coli"
"SB2711674120","Escherichia coli"
"SB279407133","Escherichia coli"
"SB2710445212","Escherichia coli"
"SB279408691","Escherichia coli"
"SB2711674010","Escherichia coli"
"SB2713433354","Escherichia coli"
"SB2711674255","Escherichia coli"
"SB2713433414","Escherichia coli"
"SB279408372","Escherichia coli"
"SB2713433273","Escherichia coli"
"SB2713433794","Escherichia coli"
"SB278791796","Escherichia coli"
"SB278790901","Escherichia coli"
"SB278791537","Escherichia coli"
"SB278791738","Escherichia coli"
"SB2710441942","Escherichia coli"
"SB279406439","Escherichia coli"
"SB2710442302","Escherichia coli"
"SB2710442009","Escherichia coli"
"SB2713433591","Escherichia coli"
"SB2710445822","Escherichia coli"
"SB2711674101","Escherichia coli"
"SB279408070","Escherichia coli"
"SB2711672783","Escherichia coli"
"SB279406468","Escherichia coli"
"SB277889682","Escherichia coli"
"SB277889331","Escherichia coli"
"SB279408720","Escherichia coli"
"SB2711674087","Escherichia coli"
"SB2713433481","Escherichia coli"
"SB278344988","Escherichia coli"
"SB2713433659","Escherichia coli"
"SB278344480","Escherichia coli"
"SB279406736","Escherichia coli"
"SB2710442665","Escherichia coli"
"SB2713433797","Escherichia coli"
"SB2710442130","Escherichia coli"
"SB279406980","Escherichia coli"
"SB2711674039","Escherichia coli"
"SB277889397","Escherichia coli"
"SB2710442185","Escherichia coli"
"SB2710445497","Escherichia coli"
"SB278791099","Escherichia coli"
"SB278790689","Escherichia coli"
"SB279407110","Escherichia coli"
"SB2710445930","Escherichia coli"
"SB278790490","Escherichia coli"
"SB278791834","Escherichia coli"
"SB2710441474","Escherichia coli"
"SB278790239","Escherichia coli"
"SB279406840","Escherichia coli"
"SB278790676","Escherichia coli"
"SB2710446044","Escherichia coli"
"SB277889530","Escherichia coli"
"SB2713433368","Escherichia coli"
"SB278790644","Escherichia coli"
"SB2713433482","Escherichia coli"
"SB2710445054","Escherichia coli"
"SB2710442172","Escherichia coli"
"SB2713433489","Escherichia coli"
"SB279406972","Escherichia coli"
"SB2710445262","Escherichia coli"
"SB2710442174","Escherichia coli"
"SB2710446052","Escherichia coli"
"SB279408355","Escherichia coli"
"SB2711674051","Escherichia coli"
"SB2710442615","Escherichia coli"
"SB2710442015","Escherichia coli"
"SB2710445285","Escherichia coli"
"SB2710196090","Escherichia coli"
"SB2710441883","Escherichia coli"
"SB2711674253","Escherichia coli"
"SB278344532","Escherichia coli"
"SB2711674185","Escherichia coli"
"SB279407027","Escherichia coli"
"SB2713433570","Escherichia coli"
"SB278344682","Escherichia coli"
"SB279406977","Escherichia coli"
"SB278344961","Escherichia coli"
