sample,species,%_of_10_best_matches=species,top_hit_distance,top_hit_p_value,top_hit_shared_hashes,num_genomes,maximum_genome_length,minimum_genome_length,result,filename,total_length,number,mean_length,longest,shortest,N_count,Gaps,N50,N50n,N70,N70n,N90,N90n,#IID,HOM_REF_CT,HOM_ALT_SNP_CT,HET_SNP_CT,DIPLOID_TRANSITION_CT,DIPLOID_TRANSVERSION_CT,DIPLOID_NONSNP_NONSYMBOLIC_CT,DIPLOID_SINGLETON_CT,HAP_REF_INCL_FEMALE_Y_CT,HAP_ALT_INCL_FEMALE_Y_CT,MISSING_INCL_FEMALE_Y_CT,Contamination_Antony,Contamination_Julio,Contamination,Host,Collection_Year,Continent,Country,Dataset,Research_Point,Date_Collected,State_grocery,Organic_RWA,State,CA,Notes,GWU_RUN_NAME,Isolate_submitted
SB277890095,Bacillus subtilis,70,0.0186195,0,511/1000,104,4353673,3876919,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB279407424,Bacteroides fragilis,60,0.0295179,0,368/1000,7,5373121,4902215,good,,,,,,,,,,,,,,,,,,,,,,,,,,Contaminated,,,Human,2019,North America,United States,SB27,22450_KP_Clinical,11/12/2019,,,,,,WELLCOME_Run_6,Escherichia coli
SB277890180,Bacteroides fragilis,100,0.0186195,0,511/1000,7,5373121,4902215,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890127,Bacteroides sp.,100,0.0448759,0,242/1000,1,unknown,unknown,uncertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9901726,Campylobacter coli,100,0.00411762,0,847/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10537514,Campylobacter coli,100,0.00774383,0,739/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1163840,Campylobacter coli,100,0.00659353,0,771/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890141,Campylobacter coli,80,0.0288636,0,375/1000,22,2033919,1668523,uncertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
ERR1163810,Campylobacter coli,100,0.00752278,0,745/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890158,Campylobacter coli,100,0.00363721,0,863/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR10537951,Campylobacter coli,100,0.0118471,0,639/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9943048,Campylobacter coli,100,0.00597612,0,789/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890110,Campylobacter coli,100,0.00489536,0,822/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9942782,Campylobacter coli,100,0.00869309,0,714/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10537533,Campylobacter coli,100,0.00730426,0,751/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942806,Campylobacter coli,100,0.00641996,0,776/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10537738,Campylobacter coli,100,0.00766986,0,741/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1163464,Campylobacter coli,100,0.00873204,0,713/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8992435,Campylobacter coli,100,0.010314,0,674/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9901863,Campylobacter coli,100,0.0081558,0,728/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9974745,Campylobacter coli,100,0.00793,0,734/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9901608,Campylobacter coli,100,0.00683925,0,764/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
