sample,species,%_of_10_best_matches=species,top_hit_distance,top_hit_p_value,top_hit_shared_hashes,num_genomes,maximum_genome_length,minimum_genome_length,result,filename,total_length,number,mean_length,longest,shortest,N_count,Gaps,N50,N50n,N70,N70n,N90,N90n,#IID,HOM_REF_CT,HOM_ALT_SNP_CT,HET_SNP_CT,DIPLOID_TRANSITION_CT,DIPLOID_TRANSVERSION_CT,DIPLOID_NONSNP_NONSYMBOLIC_CT,DIPLOID_SINGLETON_CT,HAP_REF_INCL_FEMALE_Y_CT,HAP_ALT_INCL_FEMALE_Y_CT,MISSING_INCL_FEMALE_Y_CT,Contamination_Antony,Contamination_Julio,Contamination,Host,Collection_Year,Continent,Country,Dataset,Research_Point,Date_Collected,State_grocery,Organic_RWA,State,CA,Notes,GWU_RUN_NAME,Isolate_submitted,lat,lon,ST_Enterobase,ST_Pasteur,speciator
SB278790819,Escherichia coli,100.0,0.0142009,0.0,590/1000,823.0,6162737,3976195,good,SB278790819,5200252.0,330.0,15758.34,327133.0,78.0,584.0,6.0,98035.0,15.0,66967.0,28.0,22825.0,51.0,SB278790819,644653.0,90386.0,509.0,65926.0,24046.0,0.0,356.0,0.0,0.0,80.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,7047_KP_Clinical,07/02/2018,,,,,,WELLCOME_Run_4,Escherichia coli,,,7ae769badf3ebed0092537df39249d54375a784f,d9aebe4e40f867ca855201d5ea79abf8b0a097c0,Escherichia coli
SB278790363,Escherichia coli,100.0,0.00128842,0.0,948/1000,823.0,6162737,3976195,good,SB278790363,5165125.0,172.0,30029.8,574612.0,78.0,667.0,7.0,347535.0,6.0,200331.0,10.0,113188.0,17.0,SB278790363,525912.0,95637.0,897.0,70538.0,25136.0,0.0,67.0,0.0,0.0,62.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,11547_KP_Clinical,15/08/2018,,,,,,WELLCOME_Run_3,Escherichia coli,,,e5363c316ae29ce32d2987116fd6cbfeeac58192,1ffc026d1718334768a83d95be45d8120b65e109,Escherichia coli
SB279406974,Escherichia coli,100.0,0.00439372,0.0,838/1000,823.0,6162737,3976195,good,SB279406974,5338727.0,405.0,13182.04,534143.0,78.0,1459.0,15.0,226195.0,8.0,175843.0,13.0,67058.0,22.0,SB279406974,627717.0,98538.0,651.0,72255.0,25825.0,0.0,18.0,0.0,0.0,66.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,17513_KP_Clinical,15/05/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,ecba8f9fce1149fe6b70acf87a3ed0af1339b00d,29,Escherichia coli
SB2710445245,Escherichia coli,100.0,0.00628226,0.0,780/1000,823.0,6162737,3976195,good,SB2710445245,4657537.0,173.0,26922.18,976521.0,78.0,594.0,6.0,270656.0,5.0,188031.0,10.0,89841.0,17.0,SB2710445245,700803.0,36662.0,342.0,26443.0,10144.0,0.0,73.0,0.0,0.0,19.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,10_KP_FUTI_CN-097_M4,19/08/2019,CA,1.0,California,1.0,,WELLCOME_Run_9,Escherichia coli,36.7014631,-118.755997,2163,952,Escherichia coli
SB2710441866,Escherichia coli,100.0,0.00881017,0.0,711/1000,823.0,6162737,3976195,good,SB2710441866,5252118.0,305.0,17220.06,681388.0,78.0,682.0,7.0,148548.0,10.0,99157.0,19.0,36178.0,36.0,SB2710441866,777941.0,38179.0,664.0,27724.0,10564.0,0.0,23.0,0.0,0.0,10.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2021.0,North America,United States,SB27,17_KP_FUTI_CN-124_M2,23/05/2021,CA,0.0,Minnesota,0.0,,WELLCOME_Run_7,Escherichia coli,45.9896587,-94.6113288,5891,d0fad30f7cd419384f865b8fa71e1ffaece5f432,Escherichia coli
SB2710445111,Escherichia coli,100.0,0.00170624,0.0,932/1000,823.0,6162737,3976195,good,SB2710445111,5317226.0,499.0,10655.76,544147.0,78.0,1265.0,13.0,178746.0,10.0,130947.0,17.0,25345.0,35.0,SB2710445111,640570.0,96502.0,723.0,70957.0,25327.0,0.0,1.0,0.0,0.0,54.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,27649_KP_Clinical,21/09/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,131,43,Escherichia coli
SB2710442045,Escherichia coli,100.0,0.00348975,0.0,868/1000,823.0,6162737,3976195,good,SB2710442045,4837107.0,232.0,20849.6,325241.0,78.0,491.0,5.0,185483.0,10.0,121460.0,17.0,43630.0,30.0,SB2710442045,802146.0,14358.0,261.0,10344.0,4089.0,0.0,235.0,0.0,0.0,23.0,Non contaminated,Non contaminated,Non contaminated,Beef,2018.0,North America,United States,SB27,11_KP_FUTI_CN-046_M4,16/07/2018,CA,0.0,California,1.0,,WELLCOME_Run_8,Escherichia coli,36.7014631,-118.755997,410,7,Escherichia coli
SB278791758,Escherichia coli,100.0,0.00058191,0.0,976/1000,823.0,6162737,3976195,good,SB278791758,5101782.0,173.0,29490.07,442623.0,78.0,389.0,4.0,234997.0,8.0,129150.0,14.0,34993.0,27.0,SB278791758,638645.0,96345.0,551.0,70760.0,25147.0,0.0,42.0,0.0,0.0,105.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2018.0,North America,United States,SB27,27_KP_FUTI_CN-022,29/01/2018,CA,1.0,California,1.0,,WELLCOME_Run_5,Escherichia coli,36.7014631,-118.755997,140,1,Escherichia coli
SB278790581,Escherichia coli,100.0,0.0172424,0.0,534/1000,823.0,6162737,3976195,good,SB278790581,6941271.0,185.0,37520.38,581354.0,78.0,1174.0,12.0,342390.0,8.0,183132.0,14.0,78033.0,26.0,SB278790581,525227.0,96909.0,302.0,71196.0,25261.0,0.0,43.0,0.0,0.0,53.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,14337_KP_Clinical,21/12/2018,,,,,,WELLCOME_Run_3,Escherichia coli,,,2015,658,Escherichia coli
SB279406994,Escherichia coli,100.0,0.00149601,0.0,940/1000,823.0,6162737,3976195,good,SB279406994,5203265.0,149.0,34921.24,818633.0,78.0,392.0,4.0,468447.0,5.0,246365.0,8.0,113184.0,14.0,SB279406994,628314.0,97875.0,730.0,71818.0,25689.0,0.0,28.0,0.0,0.0,52.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,17703_KP_Clinical,24/05/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,95,1,Escherichia coli
