"Genome ID","sample","Version","ST_Enterobase","adk","fumC","gyrB","icd","mdh","purA","recA"
"64a9bbc349cc8b0078809080","SB2713433814","202214121127-v3.2.1","1081","6","4","5","18","11","8","2"
"64a9bbc349cc8b0092808e8e","SB2713434477","202214121127-v3.2.1","73","36","24","9","13","17","11","25"
"64a9bbc349cc8b00df808ea4","SB2713434453","202214121127-v3.2.1","446","6","19","3","26","11","8","6"
"64a9bbc349cc8b0120808f50","SB2713434195","202214121127-v3.2.1","5378","6","4","15","102","9","73","364"
"64a9bbc349cc8b013c808f1f","SB2713434271","202214121127-v3.2.1","278","9","23","64","18","11","8","6"
"64a9bbc349cc8b0225808f9e","SB2713434103","202214121127-v3.2.1","57","6","31","5","28","1","1","2"
"64a9bbc349cc8b0236808f1b","SB2713434276","202214121127-v3.2.1","1727","6","19","3","16","11","8","6"
"64a9bbc349cc8b02ef809079","SB2713433822","202214121127-v3.2.1","87617e7a235a52bbf9bafe3a9ff5bfdcfa9c7c0f","10","1366","4","8","8","8","2"
"64a9bbc349cc8b03cf80906d","SB2713433836","202214121127-v3.2.1","7297","83","260","155","45","1","1","2"
"64a9bbc349cc8b03d0808f82","SB2713434140","202214121127-v3.2.1","69","21","35","27","6","5","5","4"
"64a9bbc349cc8b0412808f16","SB2713434281","202214121127-v3.2.1","117","20","45","41","43","5","32","2"
"64a9bbc349cc8b043c808e8c","SB2713434479","202214121127-v3.2.1","681","38","39","30","13","17","25","28"
"64a9bbc349cc8b04bf809036","SB2713433914","202214121127-v3.2.1","1081","6","4","5","18","11","8","2"
"64a9bbc349cc8b04ee808fa4","SB2713434096","202214121127-v3.2.1","428","96","40","13","100","23","28","66"
"64a9bbc349cc8b05fd808f15","SB2713434282","202214121127-v3.2.1","155","6","4","14","16","24","8","14"
"64a9bbc349cc8b06af808ee2","SB2713434383","202214121127-v3.2.1","3042","308","54","55","352","35","263","234"
"64a9bbc349cc8b06bd80904b","SB2713433890","202214121127-v3.2.1","428","96","40","13","100","23","28","66"
"64a9bbc349cc8b06c7808fb5","SB2713434074","202214121127-v3.2.1","741a81d5ca0e0494f571d081980880d25b92829c","43","41","15","899ddc212132872283c825eacd39589611ab6900","11","7","6"
"64a9bbc349cc8b071b809035","SB2713433915","202214121127-v3.2.1","345","6","4","14","1","20","62","7"
"64a9bbc349cc8b07fd808f9a","SB2713434108","202214121127-v3.2.1","212","6","29","4","18","11","8","6"
"64a9bbc349cc8b086c808eaa","SB2713434447","202214121127-v3.2.1","603","6","4","4","16","43","8","6"
"64a9bbc349cc8b095980901d","SB2713433941","202214121127-v3.2.1","491","13","39","19","36","30","14","82"
"64a9bbc349cc8b0a17808f25","SB2713434259","202214121127-v3.2.1","1429","6","4","109","1","8","8","6"
"64a9bbc349cc8b0a32808fc5","SB2713434052","202214121127-v3.2.1","73","36","24","9","13","17","11","25"
"64a9bbc349cc8b0a3c808f8b","SB2713434130","202214121127-v3.2.1","8863","6","1174","51","141","764","2","64"
"64a9bbc349cc8b0ae7808f4f","SB2713434196","202214121127-v3.2.1","297","6","65","32","26","9","8","2"
"64a9bbc349cc8b0b18808f12","SB2713434287","202214121127-v3.2.1","101","43","41","15","18","11","7","6"
"64a9bbc349cc8b0b7f808f9d","SB2713434105","202214121127-v3.2.1","23","6","4","12","1","20","13","7"
"64a9bbc349cc8b0c0980902a","SB2713433926","202214121127-v3.2.1","1308","6","6","33","1","24","8","7"
"64a9bbc349cc8b0c1880901f","SB2713433938","202214121127-v3.2.1","164","6","4","32","16","12","8","7"
"64a9bbc349cc8b0c29808fbf","SB2713434059","202214121127-v3.2.1","95","37","38","19","37","17","11","26"
"64a9bbc349cc8b0c9d808f0e","SB2713434295","202214121127-v3.2.1","69","21","35","27","6","5","5","4"
"64a9bbc349cc8b0d36808ed1","SB2713434402","202214121127-v3.2.1","135","13","39","50","13","16","37","25"
"64a9bbc349cc8b0d5c80903e","SB2713433904","202214121127-v3.2.1","681","38","39","30","13","17","25","28"
"64a9bbc349cc8b0dd0808ec7","SB2713434413","202214121127-v3.2.1","388","6","4","12","18","24","7","6"
"64a9bbc349cc8b0e0e808fba","SB2713434066","202214121127-v3.2.1","2474","13","363","30","119","17","68","96"
"64a9bbc349cc8b0eb6808f3f","SB2713434219","202214121127-v3.2.1","355","36","24","10","13","17","10","25"
"64a9bbc349cc8b0efb808f56","SB2713434188","202214121127-v3.2.1","3698","10","7","57","1","8","8","2"
"64a9bbc349cc8b1032808ef3","SB2713434361","202214121127-v3.2.1","38","4","26","2","25","5","5","19"
"64a9bbc349cc8b1190808ffb","SB2713433988","202214121127-v3.2.1","165","10","27","5","10","12","8","2"
"64a9bbc349cc8b11c4809087","SB2713433807","202214121127-v3.2.1","23","6","4","12","1","20","13","7"
"64a9bbc349cc8b122c808f89","SB2713434133","202214121127-v3.2.1","1844","6","29","33","16","11","7","2"
"64a9bbc349cc8b1290808f44","SB2713434211","202214121127-v3.2.1","69","21","35","27","6","5","5","4"
"64a9bbc349cc8b12d1808f0c","SB2713434297","202214121127-v3.2.1","1d53625cd224c68076ed25a88b51fffbe93a23b3","6","11","4","8","8","8","188"
"64a9bbc349cc8b130e809056","SB2713433879","202214121127-v3.2.1","278","9","23","64","18","11","8","6"
"64a9bbc349cc8b137580907b","SB2713433819","202214121127-v3.2.1","58","6","4","4","16","24","8","14"
"64a9bbc349cc8b13d1809024","SB2713433932","202214121127-v3.2.1","2144","6","6","15","56","11","26","6"
"64a9bbc349cc8b14ad808fb1","SB2713434078","202214121127-v3.2.1","69","21","35","27","6","5","5","4"
"64a9bbc349cc8b1515808f3c","SB2713434230","202214121127-v3.2.1","162","9","65","5","1","9","13","6"
"64a9bbc349cc8b1580809003","SB2713433978","202214121127-v3.2.1","101","43","41","15","18","11","7","6"
"64a9bbc349cc8b15b4808ec6","SB2713434414","202214121127-v3.2.1","13","6","6","5","9","9","8","2"
"64a9bbc349cc8b1607808ff3","SB2713433996","202214121127-v3.2.1","101","43","41","15","18","11","7","6"
"64a9bbc349cc8b1644809062","SB2713433862","202214121127-v3.2.1","162","9","65","5","1","9","13","6"
"64a9bbc349cc8b167480904f","SB2713433886","202214121127-v3.2.1","5378","6","4","15","102","9","73","364"
"64a9bbc349cc8b1694808fe5","SB2713434010","202214121127-v3.2.1","1434","10","11","5","8","7","8","6"
"64a9bbc349cc8b1695808f58","SB2713434186","202214121127-v3.2.1","2522","6","29","5","18","11","8","2"
"64a9bbc349cc8b16a2808ecd","SB2713434406","202214121127-v3.2.1","73","36","24","9","13","17","11","25"
"64a9bbc349cc8b16d5808e7e","SB2713434525","202214121127-v3.2.1","155","6","4","14","16","24","8","14"
"64a9bbc349cc8b16da809015","SB2713433959","202214121127-v3.2.1","2531","6","4","1","95","69","8","7"
"64a9bbc349cc8b1700808eb0","SB2713434441","202214121127-v3.2.1","2171","260","88","78","29","70","158","2"
"64a9bbc349cc8b17a4809038","SB2713433911","202214121127-v3.2.1","58","6","4","4","16","24","8","14"
"64a9bbc349cc8b17f7808fc9","SB2713434047","202214121127-v3.2.1","394","21","35","61","52","5","5","4"
"64a9bbc349cc8b181f808f11","SB2713434289","202214121127-v3.2.1","428","96","40","13","100","23","28","66"
"64a9bbc349cc8b188a808fa7","SB2713434092","202214121127-v3.2.1","1844","6","29","33","16","11","7","2"
"64a9bbc349cc8b18a0808fb7","SB2713434072","202214121127-v3.2.1","69","21","35","27","6","5","5","4"
"64a9bbc349cc8b1968808ef0","SB2713434364","202214121127-v3.2.1","1278","36","238","9","13","17","11","25"
"64a9bbc349cc8b1a3d808efd","SB2713434350","202214121127-v3.2.1","95","37","38","19","37","17","11","26"
"64a9bbc349cc8b1b14808f54","SB2713434190","202214121127-v3.2.1","6069","64","4","44","9","11","35","7"
"64a9bbc349cc8b1b40808fd2","SB2713434035","202214121127-v3.2.1","212","6","29","4","18","11","8","6"
"64a9bbc349cc8b1b9c808fda","SB2713434024","202214121127-v3.2.1","3232","6","4","3","1","11","8","6"
"64a9bbc349cc8b1cd9808f30","SB2713434246","202214121127-v3.2.1","2598","6","4","4","16","43","18","6"
"64a9bbc349cc8b1cfc808f26","SB2713434258","202214121127-v3.2.1","6927","10","11","4","8","583","8","2"
"64a9bbc349cc8b1d9b808ebd","SB2713434425","202214121127-v3.2.1","69","21","35","27","6","5","5","4"
"64a9bbc349cc8b1de8809076","SB2713433825","202214121127-v3.2.1","48","6","11","4","8","8","8","2"
"64a9bbc349cc8b1eed808e9a","SB2713434464","202214121127-v3.2.1","2562","120","54","46","48","239","40","38"
"64a9bbc349cc8b1f00809023","SB2713433933","202214121127-v3.2.1","58","6","4","4","16","24","8","14"
"64a9bbc349cc8b1f3d808e96","SB2713434469","202214121127-v3.2.1","646","13","96","121","13","17","11","10"
"64a9bbc349cc8b1f6e808fde","SB2713434020","202214121127-v3.2.1","58","6","4","4","16","24","8","14"
"64a9bbc349cc8b1fad808eff","SB2713434313","202214121127-v3.2.1","1193","14","14","10","200","17","7","10"
"64a9bbc349cc8b200980902b","SB2713433925","202214121127-v3.2.1","1159","18","52","10","13","17","25","17"
