"Genome ID","sample","Version","ST_Pasteur","dinB","icdA","pabB","polB","putP","trpA","trpB","uidA"
"64a9bbc349cc8b0078809080","SB2713433814","202214121127-v3.2.1","2d5608eaac11129e13ffd817c3729aec6dd24acf","50","47","4","10","5","8","2","30"
"64a9bbc349cc8b0092808e8e","SB2713434477","202214121127-v3.2.1","4","2","4","6","4","1","6","1","1"
"64a9bbc349cc8b00df808ea4","SB2713434453","202214121127-v3.2.1","82bec7ecc202085ea0901ad6cb9b3747121c3e08","32","65","413d6d9bbc823ec14018d497dc85db766a3cc088","10","16","7","4","5"
"64a9bbc349cc8b0120808f50","SB2713434195","202214121127-v3.2.1","1739892db21b156a0c62a1f5c849da767b130b45","47","47","3","52","78","53","2","50"
"64a9bbc349cc8b013c808f1f","SB2713434271","202214121127-v3.2.1","0399813d4a7fe0f672ed84123bdbe063d86de47d","5","47","4","10","6","7","2","2"
"64a9bbc349cc8b0225808f9e","SB2713434103","202214121127-v3.2.1","533","22","41","21","3","23","23","20","18"
"64a9bbc349cc8b0236808f1b","SB2713434276","202214121127-v3.2.1","910","50","3","3","10","5","57","4","5"
"64a9bbc349cc8b02ef809079","SB2713433822","202214121127-v3.2.1","2","8","2","7","3","7","1","4","2"
"64a9bbc349cc8b03cf80906d","SB2713433836","202214121127-v3.2.1","8773f9c4e1d2a0eb0e6961f186b0a6942270d8a3","22","325","214","210","38","101","76aa79dcc9df065a0a69b3f3e376b36fa3074605","35"
"64a9bbc349cc8b03d0808f82","SB2713434140","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b0412808f16","SB2713434281","202214121127-v3.2.1","48","2","11","23","15","10","15","10","12"
"64a9bbc349cc8b043c808e8c","SB2713434479","202214121127-v3.2.1","304","1","23","73","55","43","18","46","1"
"64a9bbc349cc8b04bf809036","SB2713433914","202214121127-v3.2.1","2d5608eaac11129e13ffd817c3729aec6dd24acf","50","47","4","10","5","8","2","30"
"64a9bbc349cc8b04ee808fa4","SB2713434096","202214121127-v3.2.1","73","16","4","16","30","4","19","1","27"
"64a9bbc349cc8b05fd808f15","SB2713434282","202214121127-v3.2.1","21","7","33","18","2","5","28","2","2"
"64a9bbc349cc8b06af808ee2","SB2713434383","202214121127-v3.2.1","435","96","175","117","122","139","125","122","116"
"64a9bbc349cc8b06bd80904b","SB2713433890","202214121127-v3.2.1","73","16","4","16","30","4","19","1","27"
"64a9bbc349cc8b06c7808fb5","SB2713434074","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b071b809035","SB2713433915","202214121127-v3.2.1","636","7","3","3","68","74","7","4","5"
"64a9bbc349cc8b07fd808f9a","SB2713434108","202214121127-v3.2.1","f3982d6f8a5b94194197a11d0ad7865e52f688f5","87","47","3","10","78","8","2","2"
"64a9bbc349cc8b086c808eaa","SB2713434447","202214121127-v3.2.1","ec3d9fcf68e0b0123000c9ee8dae64a9accf8419","25","37","4","10","89aff81cd444cf2b0dfaf4ae65b72b5e11b68ad7","7","4","9ade9a67c4f1dc49fe17bb577414ae2f1b00ae15"
"64a9bbc349cc8b095980901d","SB2713433941","202214121127-v3.2.1","375","2","48","73","82","127","18","46","1"
"64a9bbc349cc8b0a17808f25","SB2713434259","202214121127-v3.2.1","ce0a443ee152200059f9428c5bad6e658540627a","10","3ac09521298256025e2f98d2382051129ff0b131","110","484fd7cc0fff2cee1a38179186b50335c34e991f","31476fca77f5c8476a4647db516db150bdfd203a","1","4","40"
"64a9bbc349cc8b0a32808fc5","SB2713434052","202214121127-v3.2.1","4","2","4","6","4","1","6","1","1"
"64a9bbc349cc8b0a3c808f8b","SB2713434130","202214121127-v3.2.1","066e9e16376b74f1603ccff062cfb7041ad4a920","a412dce06be3f77a4d8f1939496fcab9b86e3957","310","178","210","214","43","36","40"
"64a9bbc349cc8b0ae7808f4f","SB2713434196","202214121127-v3.2.1","666","25","65","3","10","26","53","4","65"
"64a9bbc349cc8b0b18808f12","SB2713434287","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b0b7f808f9d","SB2713434105","202214121127-v3.2.1","708","6","6","4","166","6","7","2","4"
"64a9bbc349cc8b0c0980902a","SB2713433926","202214121127-v3.2.1","1114","25","3","3","52","78","29","217","103"
"64a9bbc349cc8b0c1880901f","SB2713433938","202214121127-v3.2.1","6f2fc27fecd05bdb053d5a9eda9e135cbe871e2d","a167af8c10de2967d747b6cd8792beebd53ccc76","3","48","10","26","57","4","90"
"64a9bbc349cc8b0c29808fbf","SB2713434059","202214121127-v3.2.1","b149e4541f43c8b0b94f9d51495127d4e2f4a92a","1","1","c123a40a1ebb2677b679bd92ce047216a6672015","1","1","2","3","1"
"64a9bbc349cc8b0c9d808f0e","SB2713434295","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b0d36808ed1","SB2713434402","202214121127-v3.2.1","2a98241d2cbafdf966872d135c40a5f91e3d905e","1","136","2","59e82ad9294e6941ebb2bf1fd41d21c17aca94c0","21","4","1","6"
"64a9bbc349cc8b0d5c80903e","SB2713433904","202214121127-v3.2.1","304","1","23","73","55","43","18","46","1"
"64a9bbc349cc8b0dd0808ec7","SB2713434413","202214121127-v3.2.1","339","5","65","3","26","6","7","4","55"
